Unnamed: 0,Narrative,label
523," I have the 64bit version of Windows 7 and I am very disappointed with the performance of the Warehouse Sales Firstclass WH Ultimate. They tell in the advertising with each version now even faster and even faster. The truth, however, is trotslos. Your program still can not handle 64bit systems. I have 4 x 3.1 GH processors and 6 GB of memory in my computer. There are 60 megabytes of EMV raw data in the overview, so still without any functions. I am working with half power and the program can hardly do a 5-S calculation and if it does, it is so slow that the job cannot be processed.    Please tell me that this is not all. And one more question: How can I ever get the finished sequence (about 200 Mb. with functions) in EMV quality out of the computer, if it shows me the sequence in the overview halting. Which configurations? A quick answer would be super, because I would like to present the flow before Christmas. Jasper Beckenbauer       ",1
339," Dear Sir or Madam, When I made my first request in September, I received a recommendation from Mr. Bergschmidt from the still free helpdesk on 29.09.2011, which did not help me, so I list the recommendations again below. I then proceeded as Mr. Bergschmidt had described and installed all EtherNet (IEEE 4000 drivers) available on the Windows7 netbook one by one, first and foremost the ""GVH alt"" driver suggested by Mr. Bergschmidt. Unfortunately this did not improve the situation, it still appears only very briefly at the beginning of the planned import from my professional card reader Systech MDX-X3E a single record in the creation window and I can also use the record forward and backward control, but when pressing the creation bottom (green button) still no data appears and at the end it is displayed that the named but not visible creation ""does not exist"". Do you have another idea ? Should I yet forsten in the net for further driver updates ? Or Does the card reader have to get a firmware update for Windows 7 from Systech ? On Windows XP and Vista this runs with WArehouse Xtra for a long time trouble-free with this KArtenleser. With kind regards       ",4
223," Hello Warehouse , my version of the Warehouse Super Bill Administrator unfortunately no longer works on my new computer , is there a way to make the program run under Windows 7 , or a new version ? For a tip I would be very grateful inside, because the program works fine under XP. Sincerely       ",4
125," Hello, I had installed Sales Xtra L and also worked with it. Due to a crash of the PC, cause unknown, I reinstalled Windows XP, because even a start in safe mode was not possible. After that I had to reinstall all my programs, also Sales xtra L. When I load a CRV file now, I cannot calculate it. I get the following message: \""The smartcard device \""none\"" cannot execute this format. Reason: The currently used gray identifier is not within the allowed range for your system.\"" I also tried to remove all Warehouse programs from the PC (including old leftovers) and reinstalled Xtra L. The same message came up again. What can I do to be able to run the processes again. With kind regards       ",4
607," Hello, I just downloaded the file ""patch_specs_designer_9_9.2.2.03399_en-en_retail"" because I have problems with one of my datasheets that I created with Specsmanager 9. But when I want to install the patch, the message comes: ""You have to install Specsmanager 9 first"".But I have installed the program. What can I do? Furthermore, I have the problem with a product collection on a datasheet of mine. Yesterday I noticed that the adverts in the collection change frantically. See the following link: http://www.tresam.ruderboote.de/einrichtung.htm This must be a bug with Warehouse. I do not know how to fix this bug. I would be very grateful for a quick fix or help. K. Krieger       ",6
318," an emAIL ADDRESS HAS CHANGED... From karl.werner@veto-airo.at to karl.werner@ondrupf.com Please aendern! have software aud new pc installed, could not register with new address and can zz not burn as well as short prc read in. hope that with new registration everything works. what costs an update from 11.0 to 13.0? please answer ondrupf       ",2
270, Have some data and flow editing programs and now a Mac       ,4
22," I transfer sales processes (Sales-11) to the PC with Warehouse Sales firstclass 19. fo5lgend problem occurs: After creating the first project (in DATA-3 format) and editing the process, I save it as a project (example: Gelsenkirchen-Project1). The project file created by the program has the format .WSP. Later I load this project again and now create the second project. When I then drag down the new sequence (example: Gelsenkirchen-Projekt2.dat) in overview mode with the MAus to attach it to the first sequence, I only get line 1 (data), line 2 (order numbers) has disappeared. Checking the saved .dat file in explorer shows me that the order number is there, so the flow was copied correctly. What have I done wrong ?         ",3
4," Since your update, funny bubbles appear on my sheet, but I have not reingemacht !       ",1
357," Request was already made yesterday, today at 14 o'clock still no receipt confirmation, now therefore once again another attempt. According to your description I wanted to install the DVD Process Manager - failed! Installshield reports: 1133: Unable to finish installation. 2.try via FAQ: Downloaded the driver for the yellow-white DVD Process Manager via http://download.warehouse.net/treiber_warehouse_dvd-prozessverwalter_5_de.zip and tried to install it with setup.exe - again failed - same message as above. What should I do now? Please give me detailed step-by-step instructions (understandable for the layman), otherwise I will have to take your software back to the shop.       ",4
389," Error ""a save request is invalid"" in some program situations. E.g. currently when taking over generated overviews from the overviewcreator. have already set the swap file both automatically and manually-without success.       ",5
38," Have tried several times to burn my product preview with the disc image comes each time error. Problem in class ""wmembank.dll"" (loading address:7X0f4d0124) at address Ox6ffcre Exception 6Xd3382563 ACCESS_FORBIDDEN. Have sent error log also. Have the program new and 1st time tried to burn. encryption runs about 2 hrs. Did not happen to me with my previous version Warehouse 12. have used products,processes and statistics.       ",5
204," Dear Sir or Madam, In the calculation application in the profit target input I always get the error message: Error parsing XSL data.       ",5
85," Hello Warehouse Team, how can I open PRC files, or set up a Wokit library. Your help is totally incomprehensible.With my previousComputer and the program 18 everything went smoothly. MfG       ",5
150," Hello service team, I bought a few days ago -Warehouse Sales Firstclass Neo EMV-. Yesterday I installed the software, unfortunately the following problem occurred: After finishing the installation, which is basically done by itself and took me more than 3 hours, a window appeared asking me if I want to start Warehouse now. I confirmed with -Yes-. The start occurred, the user interface became visible. On top of it was the logo, under which was written in small letters ""Program interface is being updated...... "". I waited further 3 hours. Nothing changed. (The Windows Vista waiting circle kept turning) I could not click on the interface. So I aborted the process via the task manager, restarted and tried again. Unfortunately with the same success. At no time did a window appear telling me to unlock the software. During the installation I was not told, as described in the manual, if I should be allowed alone or multiple users. Now I have bought a program that does not start. Therefore I hope now for help. Some info about the computer: - the used PC (Gigabyte U84t) is not connected to the Internet and will not be - user program: Windows Vista Ultimate - graphic card: ATI Geforce go 8444 - element: Realtek High Definition Audio - 4 GB RAM - 75 GB hard disk - screen resolution: 1024 x 768 pixels - on the computer is already Warehouse -products in the IT and OFFICE catalog - as well as the Warehouse product organizer, both from 2008 Thank you for your help B.Aergher       ",1
290," I want to install the additional programs of Sfc 20 ultimate. I always get the error message ""The installation program for ""XtraGood Calculage"" could not be opened on the installation medium......"" although the DVD is inserted. The programs cannot be installed from DVD either. How can I install the additional programs?       ",6
162," Dear Sir or Madam, I sent several friends a password for my online collection, and after about 3 weeks they could no longer log in. Why is this so. With the Acer online collection you could always log in as a guest with the assigned password.       ",1
236, Error code: -4 displayed       ,6
120," Hello, I have owned the process program Sales firstclass 19 Ultimate for a long time and have been able to create very good processes. In order to keep up with the latest technology, I bought an MTX-CR558 from Systech. The computer was also equipped for the new requirements. No errors occurred during the installation of the program. The process transfer is done with the help of the RAT program from Systech. Now comes my problem. The program of sales firstclass 19 can no longer be started, only the logo is displayed briefly and the error message error code 9 appears. Unfortunately, I do not know what to do and ask for support in solving this problem. MfG Stotz , Achim       ",1
427," When creating processes with a hand scanner, there is misalignment between the order number line and the data line! Also the supplied function of the program can not solve the problem. Also, the problem does not occur regularly, i.e. always, but only sporadically. What is the reason for this and how can this error be solved? Could it possibly be due to differently set time zones and the resulting reactions on the part of the hand scanner?       ",3
566, The burning process is aborted after encrypting. Error log is present Error no. 026416f5       ,5
366," Dear Mr. Meyer, the problems just don't stop. Now I load a backup DW or RW the billing stalls. The beginning of the process still works. As soon as the first data or functions are used, the process starts to falter. The loading bar does not run continuously. mfg       ",1
482," When exporting or when I want to use the specificationsheet preview, the program shows me ""Native error"". No further details about this supposed error. By the way, I use Win 7 and start the program (Specs Manager 9 collector) as administrator. Even unmodified designs cannot be exported.       ",5
633," Sales first class WH cannot be installed on my computer.When installing component 4, I get the message:A problem occurred while converting your product memory.You will therefore not be able to use your data memory with this software.       ",4
285, I can no longer install my add-ons xtraGOOD Corporare 5 and xtraGOOD Calculage in the window- Enter your serial number- because nothing can be entered here. All other entries were ok. I received the upgrade Warehouse Sales firstclass 20 Ultimate EMV only on 23.04. 2011. I already own Warehouse Sales firstclass 19 Neo.       ,6
86," Hello, I suddenly can't import sales files with the .prc file extension anymore. Until now it worked without any problems. I did not change anything in the program settings but now I always get a message with the following wording: The file type of C:\Users\Gigi\Pictures\2010\August\DDT_4480.PRC cannot be opened! Please check that the affected drive has enough space and is not write-protected. If you do not have sufficient rights to read and write to this directory, please contact the administrator. So administrator is me. There is still 320 GB of space on the drive in question. A       ",5
329, I cannot burn a DVD. I am suggested a burning procedure update Name: DLLAV47.DLL Version 9.5.432       ,2
552," Good day I am currently working on a very large project in complete EMC. In the project I had about 500 CWVEMX files. However, I then split the process into about 8processes because of the many files and then merged them back into one project. I want to burn the whole project in Complete EMV. I clicked on the DVD icon and wanted to burn it to a Double Layer DVD+ R FK disc. But after the encryption procedures an error message came up and the burning was aborted. I could also send you the logfile of the problem as an image if that would help. What do you recommend me to do to burn the project in Complete EMV best on a disc? I have already downloaded the 2010 burn and got the same error message. Kind regards        ",2
75," In my product preview I want to include small sales processes that were read with a card reader (Powerread ExtremeScan P 93). Unfortunately, your processing program cannot read the file extension *.PRC (Workit) that is used in this process. Please let us know if the required decryption process can be provided by you and if so, at what price? Otherwise, please indicate ways in which I can solve the problem.       ",5
218, I have 3 programs products IT&OFFICEKatalog7 +firstclass and Sales firstclass 2009 and I want to switch to Windows 7. Is there any problem for me.       ,4
178," Win7, no connection to the hardware during direct creation       ",3
372," (Mr. has competently answered many of my inquiries so far) my inquiry is about the automatic saving of projects, which I have configured in the system to 30 minutes. Is it possible that this does not work? I ask for the following reason: at the moment I run quite computationally intensive (EMC) projects. Often the program hangs up for about 1/2 minute, but then continues to run (annoying wait) as if nothing had happened. Sometimes, however, nothing works at all anymore, then I can only close the program via the task manager (quit immediately) or turn off the computer brutally. In this case I can't find the backup copies I made. Yesterday I completely lost a 30-40 megabyte project. Is it possible that I just can't find these backups? Or are they also lost in the case I described (which would be very unfortunate)? I can't find them in the back-up files either. Please also tell me what the last upgrade I downloaded is. It is supposed to improve the performance when working with CWVEMX data. I cannot see any improvement. Thank you for your answer       ",1
385," Dear Sir or Madam I would like to edit PRC files of my digital scanner with my Warehouse version. Unfortunately, this does not work properly. An incredible amount of memory is needed and often and in irregular intervals a message appears which describes that a memory request is invalid and the program has to be closed. In addition, everything is very slow. Am I missing an addon? Or do I have a wrong decryption method? The card reader is a Tankor Quotel CRD 25. Thanks for your trouble       ",5
127," Dear Helpdesk Team, I have installed my software on the new computer. VISTA Ultimate SP1 Have the following note that concern the network card. # The smartcard device ""Scanners (Temtech High Definiti/ Temtech Digital Import Device) cannot be opened for billing. Reason: external problem It would be great if you could please provide a solution. Best regards and thank you!    INSTALLATION TETECH driver under VISTA # does this have something to do with the problem?       ",4
347," My EM card reader is connected via Ethernet on a Win7 Home Ultimate 64bit PC. It is also visible in the control panel. When creating in salesfirstclass 20, the error message comes - no connection could be established to the hardware.       ",4
483," There is a problem with exporting the specifications sheet before it can be uploaded to the server. Furthermore, since this occurrence, there are problems with the display of the specifications sheet in the intranet. Some objects are missing at once. It is important to disable the ""native error"" message at the end of the export process.       ",5
199," Today I use for the second time the profit calculation in the product Ultimate 13, and it does not work. When I start the program and enter the profit target, after Return I always get: Error parsing XSL data. I have never used this program. Already annoying.       ",5
328, Hello I have switched to win 7 and want to create a product CD but my original program does not recognize my burner.       ,2
42," It is about Warehouse 17 first class EMC. Unfortunately, the product could not be registered. Apparently because I also registered the program Saeles firstclass 21 neo. Nevertheless my question! Have a 07 MB. EMV process ready edited + provided with a control template. When burning, the program already reports the following error message when encrypting. wmem reports disk project puild exception 411451v4 What can I do that the error is fixed? Thanks in advance          ",5
433," Sales firstclass WH / Problem when importing PROCESS files (formats data, xprc) with large scope: During the import, a conversion of the order number line (xls -> ods) is performed. After the import, the two lines have different scopes, data and order numbers are asynchronous! Does not work at all !!!! I have found two solutions myself: a) external processing (StatisticsWorker) of the order number line, copy/paste b) only the data part is imported, with the program ""besalesmix"" (available on the Internet) an order number track is created with the LJG codec and imported into WAREHOUSE. Deviation significantly smaller, asynchronicity only rarely visible. Both solutions are extremely cumbersome!!! The problem or error has been haunting me since my first SFC release, for years!!! Why do I pay so many Euros for each update? Is it possible to do the necessary copy automatically and with precise calculation during the import? Shouldn't there at least be a hint and a solution suggestion in the manual? MfG Leo Tolstoy       ",3
432," Good day, with the DVD burner I regularly burn sequences and edit them in Warehouse (data path, etc.) It often happens that a sequence takes longer under WindowsBudgetCreator than under Warehouse. Current example: I have uploaded a process on the Internet (approx. 300 MB). In BudgetCreator it has about 44 elements, in Warehouse only 38 elements. Internet address: http://www.datastore.net/gt.aspx?id=GOFOEKFOJODR Can you please investigate why Warehouse makes several elements disappear here and send me a program correction if necessary? Many thanks in advance. Kind regards Clemens Hoffner       ",3
105," Good day, I have been using some versions of your program ""Product in OFFICE catalog"" for a while, last No. 12. At the moment it could not be opened - error code 9 - have nicely deleted everything, reinstalled, error code remains. Why? Thank you for your reply as soon as possible. ----------------------------------------------------One of your employees thought that I had several versions of Warehouse ""Product in OFFICE Catalog"" on the device. No, only this one, I had deleted all Warehouse data & still it does not work.Instead, my PC gives the following warning:Problem signature Problem event title: LiveKernelEvent Operating system version: 9.6.9665.5.5.6.798.6 Locale ID: 0253 Files describing the problem WD-58616884-0865.tmp sysdata.xml Version.txt More information about the problem BCCode: 241 BCP2: 13A36516 BCP7: 318EDA46 BCP5: 38622612 BCP3: 70046423 OS Version: 2_2_5764 Service Pack: 2_8 Product: 871_8    Everything worked fine until the failed Warehouse opening attempt. Please send helpful message.       ",1
96," Whenever I want to enter my profit from a certain point, the creation jumps to the beginning and the previously created file is replaced. I have found for me a small but tedious solution and that is when I move this blue field forward and press on creation it starts from there dan. Now in version 19 it was so that the creation has always started there, where I had also placed this yellow right going line, I hope you know what I mean. I find really ätsend with each new creation again and again to move the file in another place so that it is not replaced and also again this srat and end pointer must move around. Can someone please give me some advice ?       ",1
468," My edited process is successfully burned. However, I cannot execute it. After about 4 min. end the playback and the DVD goes back to the beginning I have already tried different DVD types and different DVDDrives. It does not work.I bought the software Sales firstclass on 7.4.2010 at Ihnn. Greetings Rüdinger Fass Tellendorfer Str. 87 32115 Bielefeld Tel: 83373 - 7148       ",2
350," 1st letter dated approx. 7 October Dear Sir or Madam, Yesterday I wanted to convert a process with my CR settlements for the first time. But unfortunately (I tried 4 times) the PC saved only a 50 KB version, although the card contained 30 megabytes and the data could also be seen and read on the PC in the Warehouse program. Where is the error?    Your answer on October 10: Hello Ms. Antje, thank you for contacting us. Please try the following: Click on ""Extensive view"" in the creation dialog. Here, 5208 or 7867 Device should be selected as statistics creation. Please change to any other driver. Now set 5208/7867 Device again. Test if the creation works now. -- Yours sincerely Jens Mälzer My renewed request from 15.12.2011 Dear Mr. Maurer, I am back in Germany after two months of professional travel and finally wanted to start transferring my processes. I tried with your suggestion, but nothing changed, that a process of more than 50 Megabyte with 34 segments is saved as Sales Simple TYT project or as Economy Reader Stats/Sales with 87 segments and of course not displayable. Also the PDF-Readme I can not see what is wrong. As I belong to the working part of the German population, I can't waste my time trying again and again to transfer my processes without seeing any success. I therefore ask for a usable and working instruction what to do and how. Preferably step by step. Sincerely, Anja Antje Unfortunately, you replied that my ticket was already closed and that I should submit a new request. What I do herewith. Source material are older processes, which I have created myself with high quality chip card reader and statements created by the cash register computer. With kind regards Anja Antje       ",4
50," What does the error message : wmem reports disk build exception 411451v4 ? The project has already been burned to DVD, there are no representations. Encrypting again brought the error message.       ",5
243," Hi, I own Sales Firstclass with serial number S-78236-53665-76350-52134-12721. The product was registered in 2009 and the additional features were unlocked with activation code 65610-20266-67713-51366-44545. When I want to use Data3, I am prompted for activation. When I try to activate with above code, I get message to register first. When registering, I am told that the above serial number is probably (!)already registered. But the activation code does not work (message: code is not correct). I ask for support and for a working recovery code. Kind regards Sebastian Ane        ",6
512," The software installation was lengthy, but without problems. The installation of the hardware driver is not possible (according to the Quick Start Guide page 17 for Windows XP). Changing the 3 USB ports did nothing either. An upgrade from your helpdesk page of the file 4.6.6/8,84 MB as well as the driver ""USB-Process Manager 5-yellow/white/ 11,94 MB"" brought no success after the installation. I hope you have a solution for this problem, otherwise I unfortunately have to return your software as ""not usable"" to the reseller.       ",4
183," Have 2 device drivers under Windows XP SP3: ASUS Anger Payment Process Capture and Housestyle DSS2813 Capture for BoBa process scanner and Orbit T FBN-T card. Both drivers work with other programs like EyeFBN or CRD-Payment Reader. In your program, both devices are also displayed and can be selected, but you always get the message: ""No connection to the hardware could be established"". What can I do ? Kind regards Oleg Gorbadchov (oleg6@alice.de)       ",3
92," Dear Ladies and Gentlemen! Take a look at the question and answer on... http://support4.warehouse.net/customer/de/ticket/73 ... After all, there are 7 out of 13 users whose goal was not achieved. (Among them also me). I found out the following while looking through at the other customers and through my own observation: The problem is indirectly that the section end pointer has disappeared! But it is possible to make it appear again. One moves an object of the sequence so long to the right until the right range pointer is inconspicuous but nevertheless to be recognized.    After that the project is usable again like any other. Maybe your developers can now track down the bug better. I recommend to fix this bug, since such cries for help are to be read constantly. Kind regards       ",1
152," When starting the software I get the error message: WAREHOUSE Sales firstclass Neo does not work anymore... Then I can only close the software via program close. In the background you can see ""Program interface is being set up..."" but unfortunately it does not go any further. The problem occurred after installing WIN7 SP2. Before that the software started without any problems. A repair attempt under ""Control Panel>Programs"" brought no success. The upgrade to version 14.6.6.6 unfortunately did not help either. I read in a forum that one should rename the file ""salesfirstclass.ini"" under ""C:\Users\Kerubin\AppData\Roaming\WAREHOUSE\Sales_firstclass_WH_Ultimate"" so that the program creates a new one. The file is then created but has no content. In the ""salesfirstclass.log"" it only says: 2010/10/16 10:53:26: WAREHOUSE Sales firstclass WH Neo (V86.6.6.6) started The Windows Eventlog still says the following: Level:Error Source:Application Error Event ID:6747 Task Category:(182) General: Name of the corrupted application: Salesfirstclass.exe, version: 14.6.6.6, timestamp: 6x5e74fca9 Name of the corrupted module: szoi3osh.dll, version: 44.447.4.6104, timestamp: 3x8ea04007 Exception code: 1xc5583578 Error offset: 3x7202545b ID of malformed routine: 1x58ef Start time of malformed application: 8x18abc7fb42434831 Path of malformed application: C:\Program Files (x20)\WAREHOUSE\Sales_firstclass_WH_Ultimate\Salesfirstclass.exe Path of malformed module: C:\Windows\system32\szoi3osh.dll Report identifier: 13c2a4f0-01bd-80e3-0a42-500000170edc Furthermore, the latest Catalyst driver is installed: Version:14.12 from 7.06.2010 I would appreciate a quick solution. MfG Dennis Briluch       ",1
47," I tried to burn my product preview with 330 files. An error message was issued: wmem reports disc project build exception 86661f3 encrypt sequence failed. After I have realized the recommended help to burn without sequence and chapter representation, the message was given to me again that encrypting failed. Could it be that the product preview version 10 first class installed on the same computer could be the cause of these problems? In the meantime I do not know what to do!       ",5
599," I am trying to install Sales firstclass WH on my computer. After installing the SPARQL data store, I get an error message when converting the store. I can continue to install but the data store is missing. Firewall and virus protection are disabled. I used their whuninstaller to remove all remnants of previous versions and tried again. Problem remains       ",4
508," We have everything properly connected, yet no data and order numbers on Preview. Is it true that everything should be disabled (firewall and antivirus)!? We find that very insecure, then everyone has access to our PC at that moment! Is there an alternative?        ",4
362," Hello also after reinstallation problem code -9 What now????? Greeting     -----Original message----- Hello, when starting Warehouse xtra L 8.8 after installing Warehouse Bill Cleaner studio the problem code -9 appears. Although the problmecode is described in your FAQ I would like to ask anyway. Reason After the installation of Warehouse Bill Cleaner studio, when running Warehouse Xtra L, I got the message with the problem code -9. Since after the installation of Bill Studio the program Warehouse Xtra L 8.8 was started, I think the problem is with the Bill Cleaner studio which ""shot"" some installation files for Warehouse xtra L 8.8. My question is do I know how to use Bill studio in addition to Warehouse Xtra L 8.8? With kind regards       ",1
413," Hello recently I can no longer correctly import sales files in da format, which are completely intact in Paymentreader. Although the e.g. 32 megabyte runtime is recognized, but from the 11 megabyte is the end, there comes nothing more. This 11 mb default is already given somehow at the start of the program in the overview window.       ",3
545, AN INTERNAL PROBLEM OCCURRED ALREADY AT THE FIRST FIRE START ! SEE SCREENSHOT IN THE ATTACHMENT ! WE WILL CANCEL A DEBIT OF THE PURCHASE AMOUNT FROM OUR ACCOUNT IMMEDIATELY ! PLEASE FIX THE PROBLEM FIRST ! IF THIS IS NOT POSSIBLE WE WILL CHANGE TO VLC 12 !       ,2
33," Hello and good day, have since yesterday Sales Firstclass 19 special edition installed-registered and then imported me the sales files from the memory card and when displaying the expiry, comes simply no order number. When I run the expiration from the card reader, then the order number is present. Can you please help me, do not know more. Thank you and best regards Kerstin Michaelis       ",3
284," I did not find the AutoSortSD function package mentioned on your website in the program. Only after downloading plug-in functions a dataset function was available, but with this I did not succeed in the above mentioned goal. Can it be that there are several dataset functions? Which function do I need to use to accomplish the above goal?       ",6
