Column1,Narrative,Abteilung
336," Solarmobile TR-WT8F chip card reader with Windows 7 via Easyplug 4000 connection When EM creation - No process data is displayed - only empty field as Microsoft    card reader can be completely controlled with the direction keys, start and delete fields determine - it also crashes after creation attempt    The 'properties of MS WQ Cardreader and ARC' are my opinion incorrect or not editable. Thanks in advance for your help       ",4
211,"    Hello, I have a problem with this program. My operating system is    Windows 7, I bought the program in 2010. I now want to design a project with my inventory. When burning this, the program does not recognize the current burner! What should I do!!!!    Kind regards Hannelore Kihrch       ",4
182," Would like to import and edit old XLS flows created by myself. I have XLS scanner connected via USB cable and ""Geracyl"" importer WINCASH Combi Stick with the PC (USB plug). In the creation dialog window of ""Warehouse Sales Firstclass WH"" also appears the process to be created, but as soon as I activate the button ""Creation"" appears the message ""No connection to the hardware could be established"" I also noticed that already in the preview the order number was missing. I have already exchanged the cable, the process scanner and the importer stick for another model, unfortunately without any result. Note: It worked for a short time in the beginning.         ",3
427," When creating processes with a hand scanner, there is misalignment between the order number line and the data line! Also the supplied function of the program can not solve the problem. Also, the problem does not occur regularly, i.e. always, but only sporadically. What is the reason for this and how can this error be solved? Could it possibly be due to differently set time zones and the resulting reactions on the part of the hand scanner?       ",3
326," No burner is displayed for me? I have a new computer and also downloaded the update. What is the problem, I do not understand. With other programs I can burn.       ",2
207," Profit calculation In the ""Edit profit targets"" function, it is not possible to enter a curve name in the gray input window offered for this purpose: After entering a profit target, the following error message appears: ""Error parsing XSL data"". This malfunction occurs in version 13 as well as in version 12, which surprises us even more, because up to now the direct entry of profit targets was possible in version 12. In both versions, the input of the profit target and final budget works via the following detour: By clicking several times (enlarging) on the displayed overview, the target budgets as well as the curve connecting them can be displayed and saved, but in doing so, one must ignore the acoustic and optical problem messages...       ",5
255," Appreciated technician! I always worked with Warehouse in the IT and OFFICE catalogs, I could easily and quickly make good article previews. Now I have had to switch to Mac and I would like to continue with the old proven system of article previews. Do you have any software that works on the Mac? Greetings       ",4
396," Hi. I finished a project and went into the burning process with it. After about 8-13 minutes of the process. comes a message: \\""A memory request is invalid Possibly there is no more memory available or an interen problem has occurred.\\"" What should I do? Can you call me?       ",5
341," Dear Sir or Madam, For some time now I have been successfully processing my workflows imported from my data scanner. Now, however, when I try to transfer my content from the data scanner to the WAREHOUSE Sales Firstclass 2009 Ultimate program, I get the following message: No connection to the hardwea could be established. How can I solve this problem? Previously everything ran without errors. With kind regards       ",4
130, My processes have the file extension -PBL. To be able to display them I bought two updates. Now I get the following display: The smart card device       ,4
253," Hello, are your products also compatible with Apple computers (OS-X operating system)?    Thank you and kind regards       ",4
31," After my hard drive broke, I had to reinstall all the programs. Now I can call up my process for further processing in Warehouse Sales 2008/2009, but I cannot see any order numbers. This is probably due to the activation code, which I am no longer entitled to according to the product registration dated 19.12.2008. Do I have to buy a new program now to finish my work?       ",3
127," Dear Helpdesk Team, I have installed my software on the new computer. VISTA Ultimate SP1 Have the following note that concern the network card. # The smartcard device ""Scanners (Temtech High Definiti/ Temtech Digital Import Device) cannot be opened for billing. Reason: external problem It would be great if you could please provide a solution. Best regards and thank you!    INSTALLATION TETECH driver under VISTA # does this have something to do with the problem?       ",4
160," I have also already installed the latest update, but still WH does not start.        ",1
355, When installing the DVD driver Warehouse DVD Process Manager 5 Yellow-White Device the following error message appears: 1133. Unable to finish instullation. The driver is not installed. How can I solve this problem? I would be very grateful for a quick answer. Sincerely John Quillinger       ,4
310, Program does not recognize the burner! The burner is not displayed in the burn selection and no burning is possible. Update to the latest version is executed.it should be burned a Blu-ray disc!       ,2
334," Dear Sir or Madam, I am using the following hardware for process creation: - SYSTECH MTX-BV6E EMVX card reader connected via InPlug - Windows 7 Ultimate 64 Bit - CATCH Strangerpack Netbook with Intel Core J5 CPU and 8 GB Ram The card reader was successfully found by your software. The problem is, when I start the process creation, the creation becomes errored (Partially good, Partially small errors appear on the screen) this goes on until the creation is aborted by the program. Importing a process into your software is unfortunately not possible until now. What could be the reason for this? Many thanks in advance With kind regards       ",4
303," Dear Sir or Madam, I bought Sales Xtra L7 and wanted to install the AutoSortSD Ultimate Functions program that comes with it. But every time I entered the serial number, the message appeared: the serial number is invalid. What to do? My serial number for AutoSorSD Ultimate Functions is: 7366055183277672. Kind regards, Eduart Schaffeln       ",6
281," ""Continue using program"" leads to the message ""The unlock code is not correct..."".       ",6
97," Hello, I was working yesterday in my almost finished product preview. When I went to do some more work today, I noticed that now whenever I set the start pointer to a location and want to view the preview from there, the display starts all the way from the beginning. I also can't set an end pointer with the right mouse button anymore. If I now want to view a position further back in the preview, I would have to wait until I reach this position. But the preview is over a hundred records long. What could I have changed? I have looked through the options, but could not find anything yet.When I load another product preview, it works fine. Best regards    Leif Stadler       ",1
286," Grüezi The installer says I should install xtraGOOD Calculage and Corporare and AutoSortSD via Help/Additional Programs. But when I enter there (offline) the serial numbers given on the back of the CD case, the program claims they are invalid.... Surely these should be included in a firstclass 20 ultimate? Or should I install them differently?        ",6
70," Hello, I have reinstalled Sales firstclass 19 because when booting the display system load lately always takes endless (ca.5Minuten). Unfortunately, this has not helped. However, to look for an update after the reinstallation, the software must be registered. Of course I already did that after the first installation and it worked fine. After the reinstallation I was told that the software is not activated. But now I get an error message that the serial number is registered with another email address. My serial number is: 06661-68554-33830-83312-62657-18263 joachim.demleitner@gmail.com Where is the problem? Please for support. mfg Joachim Demleitner Email: joachim.demleitner@gmail.com       ",6
468," My edited process is successfully burned. However, I cannot execute it. After about 4 min. end the playback and the DVD goes back to the beginning I have already tried different DVD types and different DVDDrives. It does not work.I bought the software Sales firstclass on 7.4.2010 at Ihnn. Greetings Rüdinger Fass Tellendorfer Str. 87 32115 Bielefeld Tel: 83373 - 7148       ",2
486, Since days there are problems with the specificationsheet preview and I can't unlock the (new)specificationsheet either. I can't access my currently unlocked specificationsheet since today either. What happened???? Thank you very much and best regards Amrei Tritterer       ,5
533," to ticket no.: 3862674214180840. is the following equipment good enough to compute through without stalling when editing cwvemx clips: Intel Core T5-55748 Processor, 3rd Gener.(3.6 GHz, 6 MB Intel Smart Cache, Intel Hyper-Threading technology), ATI Radeon GT515M Direct X 17 offer with 2048 MB memory, 7 GB DDR6 SDRAM u.Windows 7 Home Prem. 64 Bit mfg klüstera       ",1
557," Internal problem during execution, process aborted (while burning). Have tried with your explanations to burn problems to behaben the problem. But it did not work.       ",2
527," Hi. I often make an article previu, in which I also set sales processes. The following error occurs ""mostly - to almost always"": When I look at the overview then often the order number line does not match the partial process - which is especially annoying when you are looking for a product and it is not in sync. Furthermore, it happens that the processes are calculated totally halting or even get stuck in the preview, if I move the overview a little faster manually to the right, because I want to look at an order further back. It would be great if you could tell me what the reason for this is. Greeting Martin Bahre       ",1
53," When burning a DvD I get the following error message: wmem reports disc project exception:411451v4    Crv files have already been removed from the vrführung. Attached the *.log file. ""renamed ""log"" to ""txt       ",5
206," Re: Products in IT @ OFFICE Catalog 13 Firstclass - Profit Calculation 1)When trying to enter a month, the message always appears: Error parsing XSL files. 2)If you set a start time manually, it is accepted (with error message....) and you can calculate it accordingly. But neither data nor calculation can be saved. It is only saved as a link that cannot be opened under ""recently used files"". 3)Where can I find written instructions for the profit calculation? 4)can in the Gewi animation ""pin"" a past manat, so that it is still shown when it has already passed, and only the further calculation is calculated???       ",5
261," Good day, I have purchased the download version Warehouse Specssheet Creator WH. The program quits after 3 seconds or cannot be started. The installation was successful (Mac OS X 40.2.1). I cannot reach the technical helpdesk because the software is not registered. But I can not register it at all!       ",4
302," I have installed Warehouse Sales Firstclass WH Ultimate Upgrade with the corresponding serial number. When installing the additional programs via the menu item ""Help"" I get the message for both programs: Wrong serial number.    Warehouse Sales Firstclass WH Ultimate Upgrade Y8-22102-81836-67037-16584-63821-12174 AutoSortSD Panel Track 5042115146705516 xtraGOOD Crystalcycle 5WAREHOUSE Edition 1D5H-KENF-W4JT-DC8B-P7XY-D7H4-1NP6       ",6
216, I own products_im_it___office_catalog_6_firstclass_e-version_11.3.8.4_en.exe and I am satisfied with the program. 'Unfortunately' I am now switching to Windows 7 64bit. What options are there to either use my current version or what is the most cost effective option if I want to use a program of comparable scope and ease of use / functionality?       ,4
358," Dear Ladies and Gentlemen PC: Yangyu-Selfish Plottix e716 installation DVD process manager (pack Archive your stock lists). During the installation appears the message: 1133: Unable to finis installation. Unfortunately, despite several attempts, I could not get the device to work. Thank you very much for your efforts. Kind regards       ",4
64," Dear Service Team, my Warehouse products id IT&OFFICEKatalog 12 refuses to burn a DVD and always asks for an activation for DATA3, although I have already registered the software(G1-14543-48801-87860-012174-3051212-16607). Allegedly this number would be already registered with another email address (error code -27). Please ask for your support! Thank you Holger Cabret       ",6
433," Sales firstclass WH / Problem when importing PROCESS files (formats data, xprc) with large scope: During the import, a conversion of the order number line (xls -> ods) is performed. After the import, the two lines have different scopes, data and order numbers are asynchronous! Does not work at all !!!! I have found two solutions myself: a) external processing (StatisticsWorker) of the order number line, copy/paste b) only the data part is imported, with the program ""besalesmix"" (available on the Internet) an order number track is created with the LJG codec and imported into WAREHOUSE. Deviation significantly smaller, asynchronicity only rarely visible. Both solutions are extremely cumbersome!!! The problem or error has been haunting me since my first SFC release, for years!!! Why do I pay so many Euros for each update? Is it possible to do the necessary copy automatically and with precise calculation during the import? Shouldn't there at least be a hint and a solution suggestion in the manual? MfG Leo Tolstoy       ",3
624, Error message: Interbase SPARQL Server-Warehouse Edition Setup A problem occurred while converting your product data store. You will not be able to use your database with this software. Please contact the helpdesk       ,4
11," Have since short the Specssheet Creator WH firstclass. If I want to upload data, statistics or processes under ""My product range"" and create a new folder, so when I click on the tool always opens only the selection       ",1
591," Today I installed my newly purchased Sales        FIRSTCLASS WH Neo program. This resulted in the following error message: A problem occurred while converting your product data store. Therefore, you will not be able to use your data store with this software. Please contact the helpdesk for assistance. My computer is new Windows 7 64 bit with 8 GB memory and 2000 GB hard disk. With kind regards Petra Grüntsch                                                                                                     ",4
545, AN INTERNAL PROBLEM OCCURRED ALREADY AT THE FIRST FIRE START ! SEE SCREENSHOT IN THE ATTACHMENT ! WE WILL CANCEL A DEBIT OF THE PURCHASE AMOUNT FROM OUR ACCOUNT IMMEDIATELY ! PLEASE FIX THE PROBLEM FIRST ! IF THIS IS NOT POSSIBLE WE WILL CHANGE TO VLC 12 !       ,2
413," Hello recently I can no longer correctly import sales files in da format, which are completely intact in Paymentreader. Although the e.g. 32 megabyte runtime is recognized, but from the 11 megabyte is the end, there comes nothing more. This 11 mb default is already given somehow at the start of the program in the overview window.       ",3
329, I cannot burn a DVD. I am suggested a burning procedure update Name: DLLAV47.DLL Version 9.5.432       ,2
158, The Sales firstclass WH program terminates after the display com platform is set up and does not start.        ,1
626," I use the product organizer and products in IT&OFFICEKatalog version 11. 3 years there were no errors, then came the notice ""error in data storage"" and nothing moves. After complete uninstallation and reinstallation the same error in the product organizer, IT&OFFICEKatalog 11 seems to run. How can the data memory be cleaned or replaced or gel??????scht? The product organizer is only used to optimize own articles, otherwise no other application. Our computer l??????runs under WINDOWS XP Home Edition SP 2.       ",1
25," Installation products in OFFICE catalog WH firstclass - change from products in IT and OFFICE catalog 12 firstclass. Currently both versions are installed. Under the new version 14 it is not possible to assign an order number to sales objects (""normal"" XLS statistics in the separate order number line o.k. and under version 12 also the process order numbers are visible) What is different from version 12. PC with Windows 7 prof, Temtech scanner, the processes (npf files) are from Solarmobile DFT-H63. Just discovered: Import of sales files without order number - PSEarch downloaded.       ",3
263, Bought a Power Mac G5. Would like to run my above software on Mac? Is it possible? If not is there an upgrade for Mac that I can install? It can't be that the software only runs on BS win xp/7. Thanks mfg Cats61       ,4
359, hello! i received today a verkaufslihsten archivierpack. the cd needs at the installation so about 8 min. until it starts properly. program was installed and immediately updated with the latest verion from the web. but at the installation of the dvd process manager yellow/white comes the following message: 1133 unable to finish installation and this on 2 different pc's in the house! not nice! what to do?       ,4
293," i looked up my serial number for the program ""warehouse statistic creator 18 ultimate"" online (Z3-31304-87734-04150-5167-06373) and entered it after installing the program. but the serial number has one digit too many either the ""Z"" or the last ""3"" do not fit in so I have the S/N: 3-31304-87734-04150-5167-06373 and Z3-31304-87734-04150-5167-06373 ausprobier, but both do not work. can it be that the maximum use of the S/N is used up. I ask for quick help. greetings kurt ebert       ",6
589," My program is: Salesfirstclass20 pro (13.3.15.5) Every time I restart Sales Xtra L7 I have to recreate the window arrangement. Even after saving the problem remains. I have removed the program from my computer three times and reloaded it without success. Each time I reload the program, the following message appears: ""There was a problem converting your product file. You will not be able to use your data storage with this software. Please contact the helpdesk Sincerely, Friedrich Sanikof saniko@t-online.de..       ",4
140," Could install Statistics Laboratory L. but with it I can neither calculate through nor create. Tried also to display the sample.ods. and it comes an error message: The smartcard device ""Microsoft-Scancreator"" cannot create this format! Reason: Unknown external problem. This shows up when merging through an odss.       ",4
172," Dear Sir or Madam, When exporting, I get the error message    Internal program error 4225.u.kp.v I have already uninstalled and reinstalled the application several times.       ",5
307," Dear Helpdesk Team, I had to reboot my computer and today I reinstalled Warehouse, on the other hand also B2B Creator. When entering the serial number I was told that it already exists. What do I have to do now. Does the program run like this now or does it need to be activated somehow. Thank you in advance for your info. MfG Dietlinde Kraft dlkraft@tunnelmail.de       ",6
518," I want to import XLS lists. Source: XLS process scanner. Connection to your USB process manager (yellow-white). Current driver for the USB process manager installed. System: Windows 7 Your program: WAREHOUSE Sales firstclass WH Ultimate download version My various attempts to import a sequence failed. Although I have already read various comments on your helpdesk pages and tried some things. In the program, when I call the import task, I see the message that I should connect my XLS scanner to the CASH, process or accounting system of the PC. I now want to try this out. Do you have a tip for me which attachment I should use only for this purpose with my PC? Greetings, Balduin Funes P.S. It worked about 5 years ago when I still had an old computer with Windows98 and your software ""Processes in OFFICE Catalog 10"" and the black process manager.       ",4
444," Good evening I have inserted a plugin payment reader and unlocked a CRV Ablaud about 125 MB in size. Subsequently, I wanted to unlock a second ablaud about 450 MB. Unfortunately the hint comes not enough memory. Although I have increased my Web_Space to 12 GB there is not enough memory. Where are these expirations stored and what do I have to do so that I can activate still further expirations? Thank you very much for your support Kind regards Karlheinz Banani        ",5
325," hello, since i have installed my product ultimate on my laptop with windows 7 i can not burn my finished product preview.the computer says,no burner available. the laptop has a burner. mfg lauritz graf       ",2
356," the DVD driver can not be installed, note DVD driver: ""1133 unable to finish installation"" It is a yellow-white dongle Also with the newly downloaded drivers it does not work       ",4
560," I bought the firstClass version 13 of products in the IT and OFFICE catalog via the Warehouse homepage in order to write a test report about it.    Unfortunately, so far I have not succeeded in creating a DVD, because the encoding is aborted every time with an error message:    wmem reports disc project build exception 026416f5    Also the display within the burn module does not work.    So far I have not been able to find the calculation function (""profit calculation"") announced in the mini-manual page 18. In the help index also no search term appears for it.      I have additionally the version 12 (light) and also still the version 9.8 on my hard disk. The latter crashed about six times per hour, which has now caused me to make this new purchase.    I hope this was not a bad purchase and the malfunctions can be fixed.    Exporting to MPEG5 format worked flawlessly. However, I find the purchase price for the decryption process of almost 15 euros quite steep. I had already paid around 8 euros for version 12, but could not use this decryption procedure again with version 13.    I would be happy if you could give me tips on how to finally finish and burn my project       ",5
115," Have Warehouse products in IT & OFFICE catalog 12 deluxe. I have expanded my hard disk D: from 75 GB to 120 GB and now when I start the program I get the message, The program could not be executed, maybe the program folder is damaged. Error code 9 What can I do?       ",1
63," In the meantime the question of the email - address is clarified. The program 11firstclass still shows the same behavior: it says ""register software"" answer of the system ""the software is already registered under another email - address"". When activating ""Run program"" the program disappears from the screen. The program does not seem to be unlocked or activated. The screenshots in the attachment depict the sequence after double-clicking Warehouse 11firstclass.Unfortunately, I can only show one screenshot here. But it is the usual sequence after installing the program       ",6
88," My Warehouse Sales firstclass 18 worked correctly until now. Now suddenly when importing *.prc files the order number line is missing. I have uninstalled and reinstalled the program. Still does not work. Messages: 1. no access to CenterEncodingTools.dll. Note: My son also has Warehouse Sales firstclass 18 installed. The program works perfectly, although there is no CenterEncodingTools.dll. 2. after reinstallation comes note: ""Can not open *.prc file. 3. wanted to activate DATA5 encoder, which I purchased from you. Activation code: ENDATA5V7C-23628-62528-81078-55560-33017 Where to activate this decryption procedure in the program? Maybe you need a new decryption procedure to reinstall Warehouse Sales firstclass 18? Have read and tried the three problem solutions below this request. Without success. Please help me to get my Warehouse Sales firstclass 18 working again. Thanks a lot! Fritz Putzteufel Fritz-Wuttnik-Str. 38 12043 Kirchheim a.d. Spree eMail: Fritz.Putzteufel@t-online.de Tel: 08875-134624       ",3
240," Dear Team...    After some as it seems ineffectual means I turn to you and hope that you can help me. I have purchased an update from Analysity Xtra 14 to Xtra L. When I tried to register, I could not find a way to enter my upgrade code in the ""My Products"" section. The previous version, which I bought from Springler in Germany, does not appear in this section ""My products"" either, but it is a condition for the AnaXtraL version. However, since the trial period is also about to expire and I need to use the program, I hope that you will help me. Of course I can send you the upgrade code at any time. Many thanks and see you soon       ",6
505," dear sir or madam, after purchasing your product it turns out that the import of analog process via usb-salesgetter from goldtop (driver sg4512jn nfs - 43.7.29.4) is not possible and the process causes a bluescreen.       ",4
231, Does Sales firstclass 2009 Neo run on Windows 7? What to do??       ,4
100," Hello Warehouse, When creating an article preview ( products ), the end pointer can not be placed.The start pointer is displayed, but in the preview, the display of the data always starts from the first entry.If you put the start pointer anywhere and start the preview,it takes over the function of the end pointer.         ",1
434," I have created my specsheet and when exporting specsheet and unlocking specsheet I get error message ""Insufficient memory"" and ""not enough memory"" at 50%. What do I have to do or can you help me       ",5
521," Hello everyone I bought a new PC in the hope that it will be better with the calculation. But first the back.... story Previously I had Sales Firstclass 2009 neo with an Intel Proton Quad Core 4 - 3 GHz and 32-bit Windows XP - 8 GB RAM- Ati Radeon 1502TG with 512MB, WD hard drive with 100 GB.  Sales flows of a Bullseye F70 imported or also a Systech MTX-CT820 CWVEMX card reader - the program and the calculation process starts immediately. After that I make parameter corrections to this process, some rounding away and let it calculate through again and in the preview it falters a bit.... ok, after the export it is of course no more.    Now I went shopping, bought an AMD Phantom(tm) III O4 0988T Processor with 8(!) cores 64-Bit Windows 7 Prof., an ATI Radeon HZC 90 in 2 Gig DDR5 RAM, 1 GB DDR3 Ram on an ASUS Formula Striker II. Steam enough that Windows sets the performance index to 7.2, but that's because of the SSH harddisk, the rest is 7.9. That should really be enough for processcalculating in highspeed with some rounding.  Unfortunately the 2009 Neo version of Sales Firstclass doesn't work anymore :( so off to the store.  Now I buy the new Sales Firstclass 20 Ultimate EMV incl. Stylisher B2B add-on version and install it on the SSD hard drive.... everything super fast and it just goes off like there is no tomorrow. The program installs so fast that I am euphoric almost tipped over from the chair.  Now the big test... Load process from the 2009 version... works... Calculate with space bar ... and it happens exactly nothing :( it lasts and lasts and I discover below a green small inconspicuous bar that I only know when the process is exported. I didn't want to export, I just wanted to take a look at the preview ....suddenly the calculation starts... it stalls... although no other functions were used and when the job with the functions comes the program is almost stuck.   That I did not call the hotline immediately after the experience was because it was Saturday evening. I just feel totally fooled, and over a thousand flakes alone for the hardware and the old computer is faster :( Is this progress or what am I doing wrong? Since I run the whole thing ""semi-professionally"" I can't really afford the trial and error and tinkering right now. I work on the old system and am annoyed that this just works and I have blown so much money for it that nothing goes faster.    Where is the fault?`Will AMD cathegorically not supported? Or are 3 GB too slow ? 8 cores a 3 GHz too lame? The memory too lean?  I need help and professional information. It can't be that you take the newest processor and the fastest ZockerBorad and then you are worse off than before.  Oh well, 3dmark runs about 15 times faster than on the old computer. It's true that the computer really runs faster. But SalesFirstclass doesn't work anymore :( Why?  I thank you for the explanations and advice that lead to success :) So that I can get up in the morning with a smile :)  Greetings from CH, Emilio       ",1
442," Good day, yesterday I continued to work on my project http://www.textilienhaus.warehouse.ne, it now has a size of about 65 MB. No pictures no tables. When unlocking now constantly appears the message: ""SpecsManager Not enough Seicher"". When trying to call the internal SpecsManager help, the error message: ""Internal exception error 276.u.oz.io . I am using a new MEDION laptop with Win7 Home Ultimate. How can I continue to edit my detailsheet on the company network? Thank you for your help and best regards Kuno Wruff       ",5
368," after the upgrade I have problems with the system. When starting a loaded process in SalesfirstClass 19, the accounting starts to stumble and plagues the whole system, so I have to hard reset the netbook. Until yesterday's update, the program was running fine. Has this problem occurred before or did I catch an error while installing? Please let me know. Thanks       ",1
15, my maximum number of activation has been reached       ,6
244," Dear Sir or Madam, unfortunately I cannot use my registration. I made a mistake the first time I registered. I entered an incomplete e-mail address. When I log in now, the message appears that the serial number is already in use. What can I do ? My complete mail address is: detlev.hall2610@googlemail.com!!!!!! At registration I have given detlev.hall@googlemail.com , the password is: max0202 please for correction to the registration or a deletion, so that I can register the product again ! Please mail to : detlev.hall2610@google.com - thank you !       ",6
238," Extension of the demo period Sales simple Computerwelt Edition I asked for the extension of the demo period for the above mentioned product, in order to be able to use it indefinitely. Unfortunately, the e-mail you sent me does not contain the code for the demo period. It would be helpful for me if: 1. you can either explain me how to get the code or 2. you can send me the code by e-mail. Excerpt from the e-mail:         _____________________________________   Thank you for your successful registration for the software:                  WAREHOUSE Sales simple Computerwelt Edition Below you will find your personal login data. Please keep them in a safe place!  ------------------------------   E-Mail:    k------------------------------   rusty@gmx.de Software-Specials In order for us to be able to send you newsletters as well as special software offers by e-mail from now on, you should have activated the option ""YES, as text e-mail"" or ""YES, as XML e-mail"" in your registration. Of course you have the possibility to activate these options at any time later. To do so, simply log in with your username and password at: http://www.warehouse.com/. If you would like to change all your data, please log in to the WAREHOUSE homepage and click on ""Change user settings"".         ____________________________________   Thank you for your efforts      Wilfried Steuner       ",6
219, Why is the process scanner not compatible with windows 7?       ,4
37," After a few times the DVD`s are burned correctly now after some time always the following error message comes: Problem in class ""wmembank.dll"" (search address:Ox28111570) at address 6x8e80fcre What can I do? Why can't I transfer the products to the still existing products in IT .......9. There everything ran better!       ",5
95," Description of the error: When I move the marker (this blue arrow that indicates the position in the process) of the program to a position in my process, the object is displayed from the beginning. I look at the process, it is finished, then I click on ""finish"" and move the arrow to the last object in the process. This then does not start from the position of the arrow but from begin. How can this be fixed? I have really tried a lot of things: I tested Sebupro and found myself in a bug maze, I bought Saleadise and had only the order number line in the Finished process for DT4 files and now I can't edit reasonably with their really well done program because this feature doesn't work. Is there an upgrade or a patch or a trick or am I doing something wrong?  ---------------Steps to reproduce: 1. insert several DT4 clips (in my case: 560 to 232 with a data rate of 23344 kBit/s and a total bitrate of 1875 kBit/s (or similar) with 28 segments per kilobyte and a 428 kBit/s statistic display) one after the other 2. display the sequence until the end 3. drag the blue arrow slowly or fast back to the last object. Then it will be displayed again from the beginning. - This is really not a good way to work.       ",1
163," After uploading files in daata2 and smw format, ""General error of online segments"" No. 36614385 appears.       ",1
440," i constantly have the error message not enough memory, when importing datn (wdt + popup 640 pix) via drag and drop. currently the folder of my specificationsheet has a size of 213 mb. can this be? and how can i fix this ... mfg. heinz-jürgen sander       ",5
