Narrative,label
" Hallo,  ich erhalte die Fehlermeldung: 46283. Schwerer Fehler im OWH-Applikation.  Können SIe helfen?      ",0
" Guten Morgen! Ich habe das Online Specificationsheet erstellen ""free"" aktiviert. Wenn ich das Programm starten möchte, bekomme ich die Meldung ""das Plugin fehlt"". Ich arbeite mit einem Mac. Könnte ich mein Package jederzeit upgraden? Lieben Dank für eine Rückinfo!  Mit freundlichen Grüssen Melanie Glimmer-Ammergau      ",3
" Hallo an das Warehouse -Team : ich habe folgendes Problem - die Online Reg. funktioniert nicht, obwohl ich online  war bei Produkte im OFFICE & IT Katalog 11 deluxe. Andere Software lies sich trotz Firewall registriern; ohne Firewall bin ich nie online. Bitte um "" Gehhilfe "" damit ich meine digit. Artikelpreview endlich abschliessen kann.      ",5
" Ich habe ein Problem mit der Installation der Traiber für ""Archivieren Sie Ihre Bestandlisten"". Die Installation haben wir mit Windows XP nach Anleitung und Aufforderungen durchgeführt. Hierbei kam es schon zu ersten Überschneidunegn, da wir laut Anleitung den USB Adapter nicht angeschlossen haben dürfen, ihn aber nach Anweisungen der Software anschließen mußten. Nach der Fertigstellung der Installation wurde auch kein, wie in der Beschreibung angekündigt, Neustart durchgeführt. Im Gerätemanager finden wir, bei angeschlossenem Adapter ein USB-Verbundgerät. Zusätzlich wird uns unter andere Geräte ein Problem mit:USB 1658 Device angezeigt. Beim Versuch einen neuen Treiber zuzuordnen, könne wir über den Gerätemanager keinen Treiber auf der CD finden. Hinweis:Fortsetzumg nicht möglich, kein zu dieser Hardware passender Treiber verfügar. Beim Start des Bearbeitungsprogramms finden wir auch nicht den Adapter, und können keine Prozesse importieren.  Auch eien Neuinstallation mit aktuellstem Treiber von Ihrer Homepage war nicht erfolgreich. Bitte teilen Sie und kurzfristig mit, wie wir den Treiber des Adapters aktualisieren können, bzw. was wir tun können, um eine Erkennnung des Adapters in Ihrer Bearbeitungssoftware erreichen. mit freundlichem Gruß      ",3
 Hallo habe volgendes problem ich möchte einen neuen aktivierungscod esrsellen doch erläst mich nicht  nach der eingabe der sernr sagt er mir ich soll es erst regestrieren  mache ich dann sagt er Die von Ihnen eingebene Seriennummer wurde bereits genutzt. Vermutlich haben Sie sich bereits registriert. Ein erneutes Registrieren ist nicht nötig. Doch ich kann kein updat erstellen und der gleichen habe das produkt S-56111-83538-36726-57484-10467 Abläufe im OFFICE Katalog      ,5
" Hallo mein Name ist Jessica Grosmann. Ich habe mir am Freitag, den 12.4.11 den SpecsManager 11 Ultimate gekauft und am selben Tag auch installiert und registriert. Leider musste ich feststellen das mein Konto anscheinend nicht eingerichtet wurde und ich habe mich deshalb selbst noch einmal auf ihrer Seite registriert. Als ich dann meinen SpecsManager 11 registrieren wollte, wurde dies geblockt mit der Meldung das dieses Produkt schon registriet sei und ich es nicht zweimal registrieren brauche. Ich würde Sie daher bitten dies richtigzustellen, dass heißt die Regiestrierung zurückzustellen oder mir den Account zu nennen, bei dem es registriert ist. Meine Seriennummer lautet: P5-34748-52366-80540-26476-84177-73426 . Desweiteren habe ich noch ein Softwareproblem und zwar funktioniert die Sheetviewervorschau nicht. Es öffnet sich zwar ein kleines weißes Fenster, aber nichts ist darauf zu sehen und im unteren linken Eck flackert : ""res://ffwindow.dll/cntstop.htm"" dieser Link und meine CPU Auslastung geht auf 100 %. Ich hoffe, Sie können mir helfen. Für ein schnelle Antwort wäre ich sehr dankbar. Jessica Grosmann      ",5
"  Was bedeutet die Fehlermeldung : wmem reports disk build exception 411451v4 ? Das Projekt wurde bereits auf DVD gebrannt, es erfolgen keine Darstellungen. Ein erneutes verschlüsseln brachte die Fehlermeldung.      ",4
" Hallo Warehouse Team,  beim Starten des Programmes Warehouse Sales Firstclass WH erscheint nachdem die Programmoberfläche eingerichtet wird eine Fehlermeldung somit kann das Programm nicht gestartet und benutzt werden. Windows fängt an nach einer Lösung für das Problem zu suchen kann jedoch nichts finden.  Ich arbeite mit Windows 7  Bitte um Hilfe!!!!!    MFG   Peter Schaffner      ",0
" Hallo,  ich habe bei Ebay das Produkt Sales Firstclass 18 Neo von privat ersteigert, der Verkäufer versicherte mir das er das Produkt vollständig deinstalliert habe und es auch keine Kopien gibt. Das habe er mir auch schriftlich versichert. Ich habe nun das Produkt instaliert es funktioniert auch. Nun möchte ich es gerne registrieren geht aber nicht da es schon für eine andere E-Mail registriert ist. Ohne die Registrierung fehlen mir noch einige Details von diesem Programm. Was kann ich tun?, was kostet es mich?.       ",5
" bei meinem Produktorganizerprogramm kommt bei Aufruf die Meldung daß ich mich registrieren soll obwohl ich mich im April schon registriert habe. Ihr zugeschickter Democ-Code den ich eingegeben habe wird nicht angenommen weil er angeblich falsch ist. Auch nach einer erneuten registrierung wurde mir der gleiche Code zugeschickt. Da ich die Software nicht testen wollte sondern gekauft habe gehe ich davon aus, daß ich es nicht immer wieder freischalten muß. Brennen      ",5
" Hallo, ich habe ein Problem mit der Verarbeitung von .tc Dateien meiner Kassensoftware (Cashstyle-lowprice T3-1625). Die Dateien lassen sich ohne Probleme importieren und auch bearbeiten( ich moechte nur die Daten entfernen nichts weiter). Daraufhin moechte den Ablauf einfach als data3 exportieren. Auch das geht problemlos, jedoch sind dann im fertigen Ablauf Daten und Bestellnummern asyncron. Ich denke der Ablauf wird nicht neu berechnet (Clever Calculate). Warum tritt dieses Problem auf??? Ich arbeite schon lange mit Warehouse SFC und hatte bisher immer das gleiche Problem. Da ich nun wieder viel Geld investiert habe in die neueste Version dachte ich eigentlich das so eine einfache Bearbeitung keine Probleme mehr macht. Ansonsten funktioniert das Programm problemlos und ich bin damit sehr zufrieden. Ich hoffe das ich auf meine Frage eine Antwort erhalte. Im Forum usw.habe ich keine Loesung gefunden.      ",2
" Internes Problem während der Durchführung, Vorgang abgebrochen (beim Brennen). Habe versucht mit Ihren Ausführungen zu Brennproblemen das Problem zu behaben. Hat aber nicht geklappt.      ",1
" Werte Unterstützer, ich habe mein Produkt ordentlich angemeldet und die Registrierung durchgeführt! Wenn ich allerdings eine Aktualisierung des Prgramms über das Netz durchführen will, fragt das System mich nach der Registriernummer; ich kann daraus folgend das Programm nicht aktualisieren. Bitte geben sie mir dazu eine Antwort! Was muss ich tun?  Viele Grüße! Damian Brecht Vielen Dank auch! dam.brecht@t-online.de        ",5
" Sehr geehrte Damen und Herren! Schauen Sie sich Frage und Antwort auf... http://support4.warehouse.net/customer/de/ticket/73  ...an. Immerhin gibt es 7 von 13 Benutzern deren Ziel nicht erreicht wurde. (Darunter auch ich). Ich habe beim Durchschauen bei den anderen Kunden und durch eigene Beobachtung Folgendes herausgefunden:  Das Problem besteht indirekt darin, dass der Abschnitts-Endzeiger verschwunden ist! Diesen kann man aber wieder erscheinen lassen.  Man verschiebe ein Objekt des Ablaufes so lange nach rechts bis der rechte Bereichszeiger unscheinbar aber doch zu erkennen ist.   Danach ist das Projekt wie jedes andere wieder nutzbar.  Vielleicht können Ihre Entwickler jetzt den Bug besser aufspüren.  Ich empfehle diesen Bug zu beheben, da ständig solche Hilferufe zu lesen sind.  Freundliche Grüße      ",0
" Sehr geehrte Damen und Herren,  ich habe Windows 7 HomePremium 64 bit Version als Betriebssystem.  Leider funktioniert ja mein Warehouse abläufe fuers buero 6 nicht mehr.  Ich moechte Prozesse und DVD?s auf meinen Buerocomputer und auch auf den Laptop-PC meiner Sekretaerin bringen.  Koennen Sie mir hier eine Loesung aufzeigen und anbieten.  (meine Sekretaerin arbeitet mit W7 HP 32bit Version)  Im Voraus besten Dank  und freundliche Gruesse        ",3
"  Sehr geehrte Damen und Herren, hatte gestern beim Brennen einen Programmabbruch. Wollte heute einen neuen Versuch starten. Nun bekomme ich folgende Fehlermeldung: Verschlüssele Ablaufaufbau Beim Processing Fehlermeldung wmem reports disc project build exception: 411451v4  Was kann ich tun?  Vielen Dank für Ihre Mühen.      ",4
" SOBALD ICH AUF ""AKTUELLES BLATT EXPORTIEREN UND VORSCHAU ANZEIGEN / KOMPLETTES DATENBLATT EXPORTIEREN UND VORSCHAU ANZEIGEN"" KLICKE (FÜR DIE VORSCHAUFUNKTION) BEKOMME ICH DIE FEHLERMELDUNG. FEHLER VON WAREHOUSE SPECSMANAGER NATIVER FEHLER!      ",4
" Ich versuche vergeblich mehrere Daten auf ein Datenblatt zu laden die in ihrer originalen Formatierung dargestellt werden sollen.  Es kommt beim exportieren des Datenblatts immer ein Zugriffsverletzung und der Hinweis der Speicher wird eng? Wozu habe ich im Rechner eigentlich 4 GB RAM ? Als ich schon mal versuchte den Ratschlag Daten zu komprimieren befolgte wurden alle Daten derart verfälscht dass ich das ganze Datenblatt nochmals neu erstellen musste! Können sie mir eine Anleitung geben, wie ich Daten in vollständiger Zahl präsentieren kann ohne dass der Speicher eng wird und das Programm beendet?  Hatte die Fehlermeldung zu diesem        ",4
" Sehr geehrte Damen und Herren!  Ich habe die Software zu dem Produkt ""Archivieren Sie Ihre Bestandslisten!"" vollständig laut Gebrauchsanleitung installiert. Nach Installation des Gerätetreibers und Neustart des Computers wird durch Anschluss des Geräts der Hardwareupdate-Assistent gestartet. Ich wähle Windows-Update ab und entscheide mich für ""Software automatisch installieren"" und klicke Weiter. Der Hardwaremanager antwortet mit ""Hardwareinstallation nicht möglich"" und begründet, dass die erforderl. Software nicht gefunden wurde.  Im Hardwaremanager erscheint eine Warnung für ""USB 1658 Device"": Die Treiber für dieses Gerät konnten nicht installiert werden. (Code 31)  Ich nutze folgenden PC: 3 GHz Centershock, 1024 MB Ram, ~50GB freier Festplattenplatz, Windows XP SP3.  Was soll ich tun, damit die Treiber laufen?      ",3
" Hallo,  ich habe zwei Probleme mit Sales Firstclass 19 Ultimate Ed.  Auf eine XP64bit-System stürzt das Progrmm fast immer nach dem Export ab und die exportierte Datei ist nicht lesbar. Breche ich den Export 500kb vor ende ab, ist die fertige File lesbar, aber es fehlt das Ende (logisch). Manchmal wird auch gar nicht exportiert. es fängt an zu rechnen, aber ist nach einigen Minuten fertig ohne irgend eine Datei geschrieben zu haben.  Dannn habe ich es auf einem XP32bit installiert... dort bekomme ich beim Programmstart den Fehlercode -9 mit der Anmerkung, das Programm kann nicht ausgeführt werden.  Bitte um Nachricht.      ",0
" Mein EM Kartenleser ist über Ethernet auf einem Win7 Home Ultimate 64bit PC verbunden. In der Systemsteuerung ist sie auch ersichtlich. Bei  der Erstellung in salesfirstclass 20, kommt die Fehlermeldung - es konnte keine Verbindung zur Hardware aufgebaut werden.      ",3
 Ich versuche Sales firstclass WH auf meinem Rechner zu installieren. Nach der Installation der SPARQL Datenspeicher kommt beim Umwandeln des Speichers eine Fehlermeldung. Ich kann zwar weiter installieren aber der Datenspeicher fehlt halt. Firewall und Virenschutz sind deaktiviert. Ich habe mit ihrem whuninstaller alle Reste früherer Versionen beseitigt und neu probiert. Problem bleibt      ,3
 ich hatte ihr programm PC care 2011 installiert. Gestern wollte ich das Programm starten. Fehlermeldung -9. Habe Programm deinstalliert und Ihr Wiederherstellungsprogramm aus dem Internet gestartet. Danach PC Care neu installiert. Programm funktioniert. Heute wollte ich Saeles firstclass 19 und Produkt im IT Katalog 11 starten. Fehlermeldung -9. Was ist da los? Es kann doch wohl nicht sein das ich jetzt diese Programme auch neu installieren muss!!      ,0
 Hallo habe volgendes problem ich möchte einen neuen aktivierungscod esrsellen doch erläst mich nicht  nach der eingabe der sernr sagt er mir ich soll es erst regestrieren  mache ich dann sagt er Die von Ihnen eingebene Seriennummer wurde bereits genutzt. Vermutlich haben Sie sich bereits registriert. Ein erneutes Registrieren ist nicht nötig. Doch ich kann kein updat erstellen und der gleichen habe das produkt S-56111-83538-36726-57484-10467 Abläufe im OFFICE Katalog      ,5
" Das Programm läßt sich nicht starten, verabschiedet sich bei ""Programmoberfläche wird aktualisiert"" ohne Fehlermeldung. Komme nicht in das Fenster des Aktivierungscodes. Keine Fehlermeldung bei der Installation Betriebssystem XP IntelProton 4 HT 3500MHz Arbeitsspeicher 1024 mb Mehrmals installiert und deinsatlliert.  Testversion von Warehouse WH Firstclass läuft ohne Probleme  Programm habe ich auf einen ""Uralt PC zur Probe installiert, dort läuft es.  Wie kann ich das Programm starten?      ",0
 dies ist eine Kopie Ihrer Anfrage an den WAREHOUSE Helpdesk.  hallo wie kann man eine dvd abschliesen damit die Produktpreview auf jedem DVD Laufwerk  läuft ? läuft hier auf dem Rechner aber wird von keinem externen DVD Laufwerk erkannt  Sie können sich Ihre Anfragen und die dazu gehörigen Antworten auch unter   folgendem Link anschauen.  https://helpdesk5.warehouse.com/customer/warehouse_getintouch/requests  Ihr WAREHOUSE Team   kann nichts öffnen bzw finden  !!      ,1
" Nachdem ich mir jetzt einen neuen PC mit 6 Prozessoren bei der Firma Arlt gekauft habe, habe ich immer noch das selbe Problem. Wenn ich einen Ablauf eingespielt habe, stocken die Daten beim durchrechnen, desto mehr ich bearbeite, (berechne, Text und Produktdaten einfüge), desto schlimmer wird es.  Ich habe alle Programmeinstellungen probiert, die im Helpdesk empfohlen werden, aber es ändert sich nichts. Mein PC Experte weiß auch nicht mehr weiter.  Ich weiss nicht mehr was ich noch machen soll und hoffe sie können mir helfen.  Mit freundlichen Grüßen Michael Krüger      ",0
" 1. Schreiben vom ca. 7. Oktober Sehr geehrte Damen und Herren, gestern wollte ich erstmalig einen Prozess mit meinen CR-Abrechnungen umwandeln. Doch leider (ich habe es 4 Mal versucht) speicherte der PC lediglich eine 50 KB-Version, obwohl die Karte 30 Megabyte beinhaltete und die Daten auch auf dem PC im Warehouse-Programm zu sehen und zu lesen waren. Wo liegt der Fehler?   Ihre Antwortam 10. Oktober: Guten Tag Frau Antje,  vielen Dank, dass Sie sich mit uns in Verbindung gesetzt haben. Bitte probieren Sie einmal folgendes: Klicken Sie im Erstellungsdialog auf ""Umfangreiche Ansicht"". Hier sollte als Statistikderstellung 5208 bzw. 7867 Device ausgewählt sein. Wechseln Sie bitte auf einen beliebigen anderen Treiber. Nun stellen Sie wiederum 5208/7867 Device ein. Testen Sie, ob die Erstellung nun funktioniert. -- Mit freundlichen Grüßen Jens Mälzer  Meine erneute Anfrage vom 15.12.2011 Sehr geehrter Herr Maurer, bin nach zweimonatiger beruflicher Reise wieder in Deutschland zurück und wollte endlich mit dem Übertragen meiner Prozesse beginnen. Ich habe es mit Ihrem Vorschlag versucht, aber es hat sich nichts daran geändert, dass ein Prozess von mehr als 50 Megabyte mit 34 Segmenten als Sales Simple TYT Projekt gespeichert wird oder als Economy Reader Stats/Sales mit 87 Segmenten und natürlich auch nicht anzeigbar ist.  Auch dem PDF-Readme kann ich nicht entnehmen, was falsch läuft. Da ich zum arbeitenden Teil der deutschen Bevölkerung gehöre, kann ich meine Zeit nicht immer wieder damit vergeuden, zu probieren, meine Prozesse zu übertragen, ohne dass ein Erfolg zu sehen ist. Ich bitte daher um eine nutzbare und funktionierende Anweisung, was ich wie tun soll. Am besten Schritt für Schritt. Mit freundlichen Grüßen Anja Antje  Leider bereichteten Sie mir draufhin, mein Ticket sei bereits geschlossen, ich solle eine neue Anfrage stellen. Was ich hiermit tue. Quellenmaterial sind ältere Prozesse, die ich selbst mit hochwertigem Chip-Kartenleser erstellt habe und vom Kassenrechner erstellte Abrechnungen.  Mit freundlichen Grüßen Anja Antje      ",3
" Ich habe eine Produktpreview gemacht, die ich eigentlich heute brennen muss. Ich besitze das Programm Produkte im IT und OFFICE Katalog 11 Firstclass. Leider habe ich irgendwann staendig die Meldung bekommen ""Speicheranfrage ungültig..."" und ich konnte das Projekt nicht fertig stellen. Ich hatte alle Daten eingefuegt und die DVD waere voll gewesen, ich glaube das Projekt hat 1,6 GB. Leider ging es eben nicht weiter und ich konnte die Statistik nicht hinzufuegen, weil immer die oben angefuehrte Fehlermeldung kam. Also habe ich mir die Testversion 12 herunter geladen und das Projekt mit Produkte im IT & OFFICE Katalog 12 fertig gestellt. Weil ich es heute noch brennen muss, erschien mir das am sinnvollsten. Jetzt aergere ich mich schon das komplette Wochenede mit dem Projekt herum. Beim 11er kam am Ende die gleiche Fehlermeldung. Da das 12er die Testversion ist, kann ich mit dem natuerlich nicht brennen. Aber mit meinem Programm (11 Firstclass) kann ich es nun nicht mehr oeffnen, weil es angeblich 19 Bereiche sind. Auf keinen Fall mache ich das gesamte Projekt nochmal neu! Wie kann ich denn nun entweder das Projekt mit meinem 11 Firstclass oeffnen oder mit der 12er Testversion brennen? Vielen Dank fuer ihre schnelle Antwort.      ",4
" ich habe mir ""Produkte im OFFICE Katalog WH"" von Ihnen schicken lassen und möchte EMV-Verkaufsobjekte aktiviren lassen Seriennr. M3-48536-73538-37766-16254-87026-86277 Bestellnr.  23 123 787 437 727 178 WHC  zuerst zeigt es an: falsche Bestellnummer beim zweiten Mal  : falsche Seriennummer meine E-mail Adresse: fri_tur@hotmail.de - ich habe dieses Produkt bereits registriert      ",5
" Sehr geehrte Damen und Herren, ich habe soeben online Sales Firstclass WH Neo erworben udn installiert. Bei der Registrierung erhalte ich die Meldung, meine Seriennummer werde bereits verwendet. Was kann ich tun, um die Registrierung abzuschließen? Das Programm ist nur auf einem einzigen Rechner installiert udn wurde zuvor nicht registriert. Vielen Dank für Ihre baldige Rückmeldung. Freundliche Grüße, Dr. Reinhard Geront      ",5
" Hallo ich habe auf win 7 umgestellt und möchte eine Produkt CD erstellen, doch mein Originalprogramm erkennt meinen Brenner nicht.      ",1
" Ich erstelle von Chipkarte.Aber der Cardreader bzw. die Hardware wird nicht gefunden.   ""WAREHOUSE Helpdesk"" <mailto:helpdesk@warehouse.net> schrieb:  Seit ich Windows 7 habe kommt immer die Meldung wenn ich erstellen moechte,das keine Hardware gefunden wurde. Ich importiere ueber ein Ethernetz-Kabel von meinem Handscan ERD-KL 847E auf.Vorher bei Salesfirstclas 18 und unter Vista lief es Fehlerfrei.      ",3
" Nach der Installation der Software Prdukte im OFFICE Katalog WH Firstclass kam der Hinweis das derInterbase SPARQL Server nicht installiert werden kann die Umwandlung des Produktdatenspeichers nicht vollständig umgewandelt wurde, obnwohl ich mir den Interbase extra von Warehouse noch mals runtergeladen habe      ",3
" Ihre Hinweise hatte ich schon befolgt - sie helfen nicht   -----Ursprüngliche Nachricht-----  Die geladenen CWVEMX-Dateien werden einzeln ruckelfrei angezeigt. Bei Uebergaengen (egal welchen Typs) bleibt die Anzeige haengen und  springt einige Zeit nicht weiter. Verschiebt man waehrend eines ruckelfreien Anzeigens den blauen Pfeil innerhalb der Datei laeuft die Abrechnung  ohne zu stocken weiter. Erfolgt die Verschiebung aber in eine naechste  Datei stockt die automatische Abrechnung, die Zahlen bleiben ok. Dieser Effekt entsteht nicht, wenn man vor dem Verschieben des blauen Pfeils die Abrechnung  stoppt und danach wieder startet. Die oben genannten Empfehlungen habe ich befolgt. Was ist zu tun?      ",0
" Ich habe mein Betriebssystem neu installieren muessen. Bei der Installation von WAREHOUSE Abläufe im OFFICE Katalog kam die Meldung, dass der USB-Verwalter-Treiber nicht installiert werden konnte, da mindestens Winddows SP 1  noetig ist. Ich habe jedoch SP 2 installiert s.o. Den Hinweis habe ich ignoriert, da ich keine alten Bestands-Listen mehr einlesen wollte. Heute ca. 4 Monate nach der Neuinstallation wollte ich vorhandene Prozess-Dateien fuer ein neues Projekt laden. Dies gelang mir nicht, da ich staendig die Meldung bekam, das Dateiformat von: (Pfad\Dateiname) kann von WAREHOUSE Abläufe im OFFICE Katalog nicht geöffnet werden. Diesen Hinweis erhielt ich bei allen Dateien der Typen .CRV oder .PRC auch bei bereits vor der Systemumstellung eingelesenen Dateien. Frage: Was bitte ist zu tun?      ",3
