"sentiment","text"
"neutral"," kostromumlage strom wird wohl teurer aber nicht berall energiedienst erhht nicht badischezeitung de "
"neutral"," nein hat in ffm und umgebung mchtig fr wirbel gesorgt "
"neutral"," exportstrke usaben scharfe kritik andeutschlands wirtschaftspolitik "
"positive"," hi ov habs endlich geschafft xdxd"
"negative"," da hast du recht peinlich peinlich"
"neutral","chemiewaffenvernichtung aufwendig teuer gefhrlich "
"neutral","tdlicher badeunfall "
"negative","poah man kommt hier kaum hinterher o o au weia ich werde wohl alt"
"negative","boah keinen bock mehr ey "
"neutral","mad dash slotsspiel zahlte gestern wenig aus was bedeutet das  "
"neutral","in tagen heit es wieder back to school deshalb haben wir fr eure kids die neusten herbsttrends  "
"positive","  traumhafte deckeldose getragen von drei puttos  bad homburg vor der hhe biete ihnen hier eine traumhaft s "
"neutral","wo  ortseingang lichtenau  genauer  b  richtung  aus richtung paderborn kommend  wann  uhr  "
"positive"," ich hab gehofft gelitten geweint bin durch die hlle gegangen und jetzt hab ich dich endlich "
"negative","das war grammatikalisch gerade quatsch geht ja gut los i blame mister and his special skills "
"neutral","  seitensprung online finden eisenstadt "
"positive"," meine eier sind sehr interessiert"
"neutral","edunn  neuer  miasanmia   robben"
"negative","god fucking dammit was tu ich noch hier  ich wollte vor ner ewigkeit schlafen morgen unterricht wrg "
"neutral","by openpli untersttzt keine dream multimedia produkte mehr openpli stellt die "
"neutral"," keith"
"neutral","gerchte holt liverpool jhriges sturmtalent zivkovic  "
"neutral","team new zealand baut fhrung im vuitton cup aus "
"negative"," bissl beruhigen bei der nchsten beleidigung a la idiot usw probieren wir die neue twitterfunktion aus "
"negative","sll ich ez ht echt na ad mfw  "
"negative","sitz da nich blo so rum lern doch mal was  och n nich jetzt vielleicht spter "
"neutral","samstag vormittag  thenotebook "
"neutral"," biokraftstoffe aus algen  biomasse  biotechnologie  innovation  biogas  pharma"
"neutral","auch kevin  grokreutz darf sich laut  lw hoffnungen machen  dfb  bvb"
"positive"," ne versuche mich zu entspannen "
"negative","reagiert nicht"
"positive"," halt rein  d"
"positive"," nein nein ich bin eine intelligente kamumpfel "
"neutral","kicker de svww zieht mit fch gleich pleite fr wacker  fussball  kicker"
"positive","trnen gelacht  "
"negative"," wach liegen gedankenkarussell unbeantwortete fragen bangen hoffen zweifeln stolz verblendung leere einsamkeit"
"positive","kochen fr angeber tricks fr die eigene luxusbratensauce zum kochvideo "
"negative"," ich hasse diese hsslichen herzen  sorry das musste mal raus  "
"neutral"," iy nah yu bete bete deh kyk kt aufa hehe"
"neutral","luxusoldtimer schlagen goldinvestments deutlich "
"positive"," schne abendgre "
"positive","gerade meinen dad chabos wissen wer der babo ist von  haftbefehl gezeigt hab ihn schon lange nicht mehr so laut lachen hren "
"neutral","empfohlene hilfe bei schulden auktionen "
"positive"," guten morgen wunderschnen sonntag heinrich hngt das bild bei dir an der wand  "
"neutral"," ehrlich schwere entscheidung   goforkupfi "
"negative","grausame erste hlfte bis hier hin die zweite kann nur besser werden   koerbefuerd"
"neutral","anlagestrategie in diese aktien investiert george soros george soros trennt sich von gold und investiert dag "
"neutral","  schmuck sal y limon armreif seit verzaubert sal y limon mit verspielten kreationen fampuumlr spannende l "
"neutral","  db  bahn schienenersatzverkehr mhldorf mnchen aktuelle nderungen  bauarbeitensanierungstattausbau"
"neutral","  de flchtlingsmarsch erreicht mnchen polizeieinsatz gegen asylbewerber "
"neutral","nachts blhung was kann ich ndern verbessern  "
"neutral"," bundesligaauftakt fr gegen eintracht frankfurt sollen heute nachmittag gleich drei punkte her  hahohe"
"negative"," meine mama hat so gewaschen dass meine komplette farbige unterwsche jetzt grau ist "
"positive"," haha  besser gehts kaum noch nur in ausnahmefllen also "
"negative"," okay "
"neutral","tv duell wer scheisse baut muss scheisse ernten gleiches recht fuer alle "
"neutral","mia wtf alfie und zoe sind auf dem roten teppich "
"neutral","mundwasser gemisch aus leicht desinfizierenden substanzen verleiht frischen atem "
"neutral","calvin klein underwear girls logo  pc  calvin  girls  klein  logo  underwear  waistband"
"negative","miley cyrus bertreibts langsam leicht "
"positive","zweiter anlauf rendern geschafft "
"neutral","manchester united norwich live stream online ansehen football league cup das "
"neutral","trabzonspor legia warschau ende halbzeit  traleg "
"neutral","der mensch muss fr den beginn eines neuen zyklus arbeiten nicht nur  silvester feiern  kultup"
"neutral","sigi heinrich watscht die  jogibasher leidenschaftlich ab schlagt  lw endlich zum ritter  "
"neutral","  stelle  kader beraterin marken und kommunikation keim identity gmbh zrich  projekt  business"
"positive"," echt warum nicht  hes mine p wakakakakak aduh  ngayal mulu ni gw "
"neutral","gefragte produkte kampn luftfilterreinigungsset reinigungssatzder reinigungssatz besteht aus "
"positive"," great show last saturday in  olympia rocked  pics soon   band  sleazerock  rocknr"
"neutral","kommentar aufstand der alten um hundewiese in hamm "
"neutral","sie wollen zustzlich geld verdienen  "
"negative","kopf wand weiter schalke  ne ich bin echt erschttert "
"neutral","  anderefragen lstigen  mief entfernen "
